03/17/2022 12:54:04>running...03/17/2022 12:54:16>127.0.0.1:50004 "GET / HTTP/1.1"	 200 OK
03/17/2022 12:54:16>127.0.0.1:50007 "GET /xmas_wallpaper.png HTTP/1.1"	 200 OK
03/17/2022 12:54:18>127.0.0.1:50025 "GET / HTTP/1.1"	 200 OK
03/17/2022 12:54:18>127.0.0.1:50028 "GET /xmas_wallpaper.png HTTP/1.1"	 200 OK
03/17/2022 13:03:16>127.0.0.1:50119 "GET / HTTP/1.1"	 200 OK
03/17/2022 13:03:16>127.0.0.1:50121 "GET /xmas_wallpaper.png HTTP/1.1"	 200 OK
03/17/2022 13:03:17>127.0.0.1:50124 "GET / HTTP/1.1"	 200 OK
03/17/2022 13:03:17>127.0.0.1:50126 "GET /xmas_wallpaper.png HTTP/1.1"	 200 OK
03/17/2022 13:03:19>127.0.0.1:50129 "GET / HTTP/1.1"	 200 OK
03/17/2022 13:03:19>127.0.0.1:50131 "GET /xmas_wallpaper.png HTTP/1.1"	 200 OK
03/17/2022 13:20:07>shut down
